serialnumber,name,address,phone,latitude,longitude,note,county,town,village
,台北中山意舍酒店,臺北市中山區中山北路二段57之1號1至8樓,(02)25652828,25.0557323,121.5230059,銀級環保旅宿,臺北市,中山區,-
,台北時代寓所,臺北市中正區林森南路7號1至14樓，7-1號1樓,(02)77521801,25.0441592,121.5233276,金級環保旅宿,臺北市,中正區,-
,圓山大飯店,臺北市中山區中山北路4段1巷1號,(02)28861818#1007,25.0785832,121.5278139,銀級環保旅宿,臺北市,中山區,-
,台北W飯店,臺北市信義區忠孝東路五段10號,(02)77038765,25.0413679,121.5652303,銀級環保旅宿,臺北市,信義區,-
,寒居酒店,臺北市中山區松江路116號1樓至9樓,(02)66008000#8886,25.0516406,121.5326451,金級環保旅宿,臺北市,中山區,-
,台北士林萬麗酒店,臺北市士林區中山北路五段470巷8號,(02)88612389,25.0931135,121.5290463,銀級環保旅宿,臺北市,士林區,-
,台北中山九昱希爾頓逸林酒店,"臺北市中山區中山北路一段121巷1之1號, 121巷1號1樓至14樓",(02)66253281,25.05141282,121.52259395,銅級環保旅宿,臺北市,中山區,-
,北投麗禧溫泉酒店,臺北市北投區幽雅路30號,(02)28967799#738,25.13777946,121.51508107,金級環保旅宿,臺北市,北投區,-
,趣淘漫旅-台北,新北市板橋區中山路1段139號(1至2層)、139號4樓至20樓,(02)29583000#7701,25.01126104,121.46276335,金級環保旅宿,新北市,板橋區,-
,台北新板希爾頓酒店,新北市板橋區民權路88號、88號（2至31樓）90號,(02)29583000#7702,25.01141762,121.4624318,金級環保旅宿,新北市,板橋區,-
,富信大飯店,新北市汐止區大同路一段152號,(02)26416422#5112,25.05545154,121.631994,金級環保旅宿,新北市,汐止區,-
,北投老爺酒店,臺北市北投區中和街2號,(02)28966966#8878,25.13765674,121.503824,金級環保旅館,臺北市,北投區,-
,"福容大飯店 台北二館",新北市深坑區北深路三段236號,(02)26620088#186,25.00421502,121.60032904,金級環保旅宿,新北市,深坑區,-
,台北遠東香格里拉,臺北市大安區敦化南路二段201號,(02)23788888#6608,25.0264311,121.5493234,銅級環保旅宿,臺北市,大安區,-
,九昱晴美,臺北市中山區林森北路568號2樓至13樓，3樓之1、2、3、5、6至12樓之1、2、3、5、6，13樓之1,(02)66080807#105,25.06470274,121.5255369,銅級環保旅宿,臺北市,中山區,-
,福華國際文教會館,臺北市大安區新生南路3段30號(住宿棟1樓及5樓至14樓),(02)77122323#2340,25.02366782,121.5343264,銀級環保旅宿,臺北市,大安區,-
,台北松山意舍酒店,臺北市南港區市民大道7段8號17樓至21樓,(02)26532828#2100,25.04930012,121.5805022,銀級環保旅宿,臺北市,南港區,-
,老爺大酒店,臺北市中山區中山北路2段37-1號,(02)25423299#359,25.05370696,121.5229496,銅級環保旅宿,臺北市,中山區,-
,凱達大飯店,臺北市萬華區艋舺大道167號1-26樓,(02)23836789#6321,25.03335634,121.49989244,金級環保旅館,臺北市,萬華區,-
,捷絲旅西門町店,臺北市中正區中華路一段41號5樓至9樓,(02)25215000,25.04490466,121.5095061,銅級環保旅宿,臺北市,中正區,-
,將捷金鬱金香酒店,新北市淡水區中正路1段2之1號(A區地上3至6層、B區地上1至5層、C區地下3層至地上3層),(02)26218555#2913,25.17659347,121.4297257,金級環保旅宿,新北市,淡水區,-
,天成大飯店,臺北市中正區忠孝西路一段43號,(02)23118905#3705,25.0463736,121.5183769,銀級環保旅宿,臺北市,中正區,-
,台糖台北會館,臺北市中正區中華路一段39號3至5樓,(02)23885522#5001,25.04536176,121.5098341,銅級環保旅宿,臺北市,中正區,-
,台糖台北會館,臺北市中正區中華路一段39號3至5樓,(02)23885522#5001,25.04536176,121.5098341,銅級環保旅宿,臺北市,中正區,-
,福容大飯店　福隆,新北市貢寮區福隆里福隆街41號,(02)24992381,25.01838298,121.9439558,金級環保旅宿,新北市,貢寮區,-
,凱旋酒店,臺北市內湖區江南街55號3樓至9樓,(02)87527888#6203,25.07738056,121.57778557,銀級環保旅宿,臺北市,內湖區,-
,大地酒店,臺北市北投區奇岩路1號,(02)28931221#1003,25.13500876,121.5069911,金級環保旅館,臺北市,北投區,-
,傑仕堡有氧酒店,新北市板橋區縣民大道2段275號、275號2至17樓、277號2樓,(02)77273000#54083,25.017678,121.469401,金級環保旅宿,新北市,板橋區,-
,台北花園大酒店,臺北市中正區中華路2段1號,(02)23143300#3151,25.03637048,121.50681761,銀級環保旅宿,臺北市,中正區,-
,亞都麗緻大飯店,臺北市中山區民權東路2段41號,0277352360,25.062829,121.52995,金級環保旅宿,臺北市,中山區,-
