序號,,聯絡地址,商店編號,綠色商店名稱,聯絡電話,分機,手機號碼,綠色商店類型,,,,,,
94,,100台北市中正區北平西路3號(東南站),A000604,7-11台北1門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
95,,100台北市中正區北平西路3號(西南站),A000874,7-11台北2門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
96,,100台北市中正區北平西路3號(西北站),A000663,7-11台北3門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
97,,100台北市中正區北平西路3號(東北站),A000576,7-11台北4門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
98,,100台北市中正區北平西路3號,A000772,7-11台北五門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
99,,100台北市中正區北平西路3號,A000639,7-11台北六門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
100,,110台北市信義區松智路8號,A000358,7-11台金門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
101,,106台北市大安區基隆路四段43號第三餐廳,A000681,7-11台科三門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
102,,105台北市松山區市民大道路四段105號,A000499,7-11市大門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
103,,105台北市松山區民生東路3段127巷6號,A000402,7-11民北門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
104,,105台北市松山區民權東路3段108號,A000612,7-11民有門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
105,,114台北市內湖區民權東路6段88號,A000379,7-11民東門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
106,,104台北市中山區圓山里中山北路3段57號,A000643,7-11民美門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
107,,105台北市松山區民生東路四段130號,A000667,7-11民復門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
108,,110台北市信義區永吉路30巷103號,A000752,7-11永信門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
109,,106台北市大安區永康街43號,A000202,7-11永康門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
110,,100台北市中正區汀州路一段129號,A000250,7-11汀州門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
111,,115台北市南港區南港路3段3號,A000498,7-11玉成門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
112,,115台北市南港區玉成街154號,A000190,7-11玉德門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
113,,112台北市北投區石牌路二段8號,A000467,7-11石捷門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
114,,106台北市大安區和平東路2段63號1樓,A000743,7-11禾光門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
115,,106台北市大安區安和路二段74巷1號,A000287,7-11立仁門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
116,,112台北市北投區承德路7段378號,A000353,7-11立農門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
117,,104台北市中山區伊通街50號,A000618,7-11伊東門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
118,,112台北市北投區光明路122號,A000442,7-11光中門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
119,,112台北市北投區光明路162.164號,A000189,7-11光明門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
120,,110台北市信義區忠孝東路五段524巷1弄1號,A000192,7-11光東門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
121,,110台北市信義區光復南路471號,A000729,7-11光復門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
122,,105台北市松山區延吉街28號,A000330,7-11吉仁門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
123,,104台北市中山區吉林路365.367號,A000417,7-11吉安門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
124,,106台北市大安區延吉街72號,A000504,7-11吉忠門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
125,,104台北市中山區吉林路211號,A000780,7-11吉林門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
126,,105台北市松山區南京東路5段66巷3弄1號1樓,A000839,7-11吉盛門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
127,,106台北市中正區南昌路2段173號,A000502,7-11同昌門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
128,,104台北市中山區合江街60號,A000400,7-11合江門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
129,,106台北市大安區復興南路2段151巷41號,A000563,7-11合旺門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
130,,112台北市北投區致遠二路149號,A000567,7-11安遠門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
131,,114台北市內湖區成功路二段252號,A000179,7-11成功門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
132,,114台北市內湖區新明路317號,A000339,7-11成美門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
133,,108台北市萬華區成都路94號,A000283,7-11成都門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
134,,114台北市內湖區成功路四段346號,A000614,7-11成湖門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
135,,104台北市中山區長安東路2段35-1號,A000303,7-11江東門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
136,,104台北市中山區一江街22號,A000479,7-11江陵門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
137,,111台北市北投區石牌路一段35號,A000296,7-11百齡門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
138,,111台北市士林區至善路二段264號,A000588,7-11至善天下門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
139,,112台北市士林區至誠路二段31號,A000449,7-11至誠門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
140,,104台北市中山區農安街178號,A000383,7-11行天門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
141,,112台北市北投區行義路33號,A000444,7-11行義門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
142,,114台北市內湖區行愛路128號,A000340,7-11行龍門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
143,,112台北市北投區大興街48號,A000454,7-11西安門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
144,,114台北市內湖區內湖路一段285巷65弄2號,A000458,7-11西武門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
145,,114台北市內湖區內湖路一段321號,A000655,7-11西湖門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
146,,115台北市南港區研究院路二段152號,A000606,7-11庄研門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
147,,106台北市大安區忠孝東路三段217巷1弄2號,A000676,7-11佑安門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
148,,114台北市內湖區五分街41號1F,A000300,7-11克里斯門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
149,,108台北市萬華區萬青街168號,A000539,7-11克難門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
150,,110台北市信義區吳興街284巷18弄2號,A000234,7-11吳興門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
151,,108台北市萬華區西園路一段246號,A000337,7-11宏旭門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
152,,110台北市信義區松仁路91-1號1樓,A000775,7-11宏泰門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
153,,106台北市大安區和平東路3段97號,A000501,7-11技安門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
154,,112台北市北投區中和街476.478號,A000895,7-11秀山門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
155,,105台北市松山區八德路三段155巷2號,A000569,7-11育商門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
156,,114台北市內湖區瑞光路196號,A000266,7-11見晴門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
157,,106台北市大安區辛亥路2段57號,A000268,7-11辛亥門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
158,,105台北市松山區南京東路四段70號,A000325,7-11京育門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
159,,104台北市中山區林森北路411號,A000481,7-11京都門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
160,,104台北市中山區民生東路二段157號,A000813,7-11佳佳門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
161,,115台北市南港區南港路一段305號,A000298,7-11佳樂門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
162,,106台北市大安區和平東路三段230號,A000319,7-11和安門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
163,,106台北市大安區和平東路1段91號,A000289,7-11和金門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
164,,106台北市大安區和平東路一段169號,A000430,7-11和泰門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
165,,112台北市北投區中和街10號,A000666,7-11和業門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
166,,112台北市北投區崇仁路一段76號,A000231,7-11奇岩門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
167,,111台北市士林區中正路115號,A000200,7-11官邸門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
168,,106台北市大安區延吉街237號,A000760,7-11延吉門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
169,,103台北市大同區延平北路3段61-5號,A000187,7-11延年門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
170,,103台北市大同區延平北路2段159.161號.,A000527,7-11延埕門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
171,,103台北市大同區延平北路一段78.80號,A000781,7-11延華門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
172,,105台北市松山區延壽街422號,A000443,7-11延壽門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
173,,103台北市大同區延平北路4段6.8號,A000423,7-11延龍門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
174,,105台北市松山區新東街15巷1號,A000566,7-11征東門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
175,,105台北市松山區民生東路五段197號,A000447,7-11征唐門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
176,,116台北市文山區忠順街一段101號,A000494,7-11忠順門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
177,,100台北市中正區忠孝東路二段102號,A000224,7-11忠聯門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
178,,112台北市北投區福興里承德路七段76號,A000349,7-11承啟門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
179,,111台北市士林區承德路四段39號,A000568,7-11承富門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
180,,103台北市大同區承德路一段22號,A000651,7-11承華門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
181,,104台北市中山區南京西路16號捷運中山站B1區,A000404,7-11承運門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
182,,103台北市大同區承德路3段74號.,A000628,7-11昌吉門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
183,,110台北市信義區基隆路二段131-4號,A000238,7-11昌隆門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
184,,115台北市南港區忠孝東路6段448號,A000274,7-11昆陽門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
185,,108台北市萬華區西寧南路50巷3號.5號,A000773,7-11昆寧門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
186,,108台北市萬華區昆明街46號,A000288,7-11昆福門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
187,,114台北市內湖區東湖路45號,A000318,7-11明湖門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
188,,112台北市北投區明德路99號,A000648,7-11明華門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
189,,112台北市北投區明德路114號,A000514,7-11明德門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
190,,104台北市中山區南京東路一段92號,A000857,7-11東王門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
191,,105台北市松山區南京東路5段17號,A000776,7-11東光門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
192,,105台北市松山區民生東路5段117號,A000232,7-11東吉門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
193,,111台北市士林區中山北路7段14巷19號Ｂ1,A000506,7-11東洋門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
194,,104台北市中山區八德路二段282號,A000256,7-11東崙門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
195,,100台北市中正區貴陽街一段56號B1,A000253,7-11東祥門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
196,,112台北市北投區裕民一路40巷1號,A000212,7-11東華門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
197,,105台北市松山區南京東路4段131號,A000394,7-11東勢門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
198,,110台北市信義區忠孝東路4段514號,A000495,7-11東暉門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
199,,105台北市松山區民生東路5段65號,A000272,7-11東榮門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
200,,105台北市松山區民生東路4段55巷10號,A000795,7-11東鑫門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
201,,104台北市中山區林森北路362號,A000616,7-11林北門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
202,,104台北市中山區林森北路572號,A000811,7-11林安門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
203,,115台北市南港區東新街80巷1號,A000812,7-11林坊門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
204,,104台北市中山區林森北路500號,A000228,7-11林森門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
205,,110台北市信義區忠孝東路5段386號,A000630,7-11松山門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
206,,110台北市信義區松仁路213號,A000360,7-11松仁門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
207,,105台北市松山區三民路10號,A000871,7-11松民門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
208,,105台北市松山區塔悠路31.33號,A000900,7-11松禾門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
209,,110台北市信義區文藝里永吉路180巷67弄5號,A000492,7-11松信門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
210,,110台北市信義區松山路604號,A000276,7-11松家門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
211,,110台北市信義區基隆路一段135-2號,A000686,7-11松高門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
212,,110台北市信義區忠孝東路五段1之6號,A000596,7-11松捷門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
213,,104台北市中山區南京東路二段115巷1號,A000374,7-11松盛門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
214,,110台北市信義區莊敬路325巷43號,A000493,7-11松智門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
215,,110台北市信義區松隆路286號,A000593,7-11松隆門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
216,,110台北市信義區松德路271號,A000807,7-11松義門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
217,,104台北市中山區松江路101號,A000733,7-11松運門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
218,,110台北市信義區松隆路159巷1號,A000277,7-11松錢門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
219,,104台北市中山區松江路305號.,A000586,7-11松錦門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
220,,105台北市松山區慈祐里八德路4段767.769號.,A000248,7-11松饒門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
221,,104台北市中山區松江路208號,A000881,7-11松鑫門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
222,,105台北市松山區八德路四段686號,A000814,7-11松鑽門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
223,,106台北市大安區安和路一段47號,A000862,7-11欣安和門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
224,,104台北市中山區北安路604.606號,A000416,7-11欣旺門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
225,,100台北市中正區中華路一段41號1樓,A000875,7-11欣漢華門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
226,,114台北市內湖區民權東路6段120巷7弄8號,A000372,7-11欣福門市,(02)27478711,3961,,連鎖型綠色商店,,,,,,
