行政區,場所名稱,場所地址,管理單位,連絡電話,場所開放時間,飲水台數,設置地點,緯度,經度
士林,臺北市立圖書館士林分館,臺北市士林區基河路363號2樓,臺北市立圖書館士林分館,(02)28361994,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.0958,121.5182
大同,臺北市立圖書館大同分館,臺北市大同區重慶北路三段318號,臺北市立圖書館大同分館,(02)29543236,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.0743,121.5135
大安,臺北市立圖書館大安分館,臺北市大安區辛亥路三段223號4樓,臺北市立圖書館大安分館,(02)27325422,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.016,121.5508
中山,臺北市立圖書館大直分館,臺北市中山區大直街25號3樓,臺北市立圖書館大直分館,(02)25336535,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.0818,121.5467
中山,臺北市立圖書館中山分館,臺北市中山區松江路367號8樓,臺北市立圖書館中山分館,(02)25026442,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.0643,121.5335
松山,臺北市立圖書館中崙分館,臺北市松山區長安東路2段229號7~10樓,臺北市立圖書館中崙分館,(02)87736858,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.0484,121.5458
內湖,臺北市立圖書館內湖分館,臺北市內湖區民權東路六段99號6樓,臺北市立圖書館內湖分館,(02)27918772,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,館內,25.0692,121.589
信義,臺北市立圖書館六合分館,臺北市信義區松仁路240巷19號3~5樓,臺北市立圖書館六合分館,(02)27292485,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,5,館內,25.0243,121.5688
士林,臺北市立圖書館天母分館,臺北市士林區中山北路七段154巷6號3樓,臺北市立圖書館天母分館,(02)28736203,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.1236,121.533
文山,臺北市立圖書館文山分館,臺北市文山區興隆路二段160號7-9樓,臺北市立圖書館文山分館,(02)29315339,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.0015,121.5514
文山,臺北市立圖書館木柵分館,臺北市文山區保儀路一段13巷3號3樓,臺北市立圖書館木柵分館,(02)29397520,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,24.9885,121.5691
北投,臺北市立圖書館北投分館,臺北市北投區光明路251號,臺北市立圖書館北投分館,(02)28912095,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.1365,121.5063
中正,臺北市立圖書館古亭分館,臺北市中正區汀州路二段265號,臺北市立圖書館古亭分館,(02)23678734,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.0226,121.5238
松山,臺北市立圖書館民生分館,臺北市松山區敦化北路199巷5號4樓,臺北市立圖書館民生分館,(02)27138083,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.0571,121.5515
北投,臺北市立圖書館永明閱覽室,臺北市北投區石牌路二段115號7、8樓,臺北市立圖書館永明閱覽室,(02)28234141,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.1183,121.5175
文山,臺北市立圖書館永建分館,臺北市文山區木柵路一段177號4樓,臺北市立圖書館永建分館,(02)22367448,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,24.9877,121.5509
信義,臺北市立圖書館永春分館,臺北市信義區松山路294號3、4樓,臺北市立圖書館永春分館,(02)27609730,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.043,121.5776
北投,臺北市立圖書館石牌分館,臺北市北投區明德路208巷5號3-10樓,臺北市立圖書館石牌分館,(02)28239634,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,8,館內,25.113,121.5227
北投,臺北市立圖書館吉利分館,臺北市北投區立農街一段366號,臺北市立圖書館吉利分館,(02)28201633,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.1193,121.5083
文山,臺北市立圖書館安康民眾閱覽室,臺北市文山區興隆路4段105巷1號4樓,臺北市立圖書館安康民眾閱覽室,(02)29390180,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,館內,24.9878,121.5607
大安,臺北市立圖書館成功民眾閱覽室,臺北市大安區和平東路二段311巷29號4樓,臺北市立圖書館成功民眾閱覽室,(02)27013604,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,館內,25.0254,121.5452
內湖,臺北市立圖書館西中分館,臺北市內湖區內湖路1段285巷66號1-2樓,臺北市立圖書館西中分館,(02)87515497,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.0847,121.5666
內湖,臺北市立圖書館西湖分館,臺北市內湖區內湖路一段594號,臺北市立圖書館西湖分館,(02)27973183,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,4,館內,25.0786,121.5772
萬華,臺北市立圖書館西園分館,臺北市萬華區興寧街6號,臺北市立圖書館西園分館,(02)23069046,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,5,館內,25.0321,121.5017
北投,臺北市立圖書館秀山民眾閱覽室,臺北市北投區中和街534號5至9樓,臺北市立圖書館秀山民眾閱覽室,(02)28921475,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.1456,121.4931
大同,臺北市立圖書館延平分館,臺北市大同區保安街47號,臺北市立圖書館延平分館,(02)25981387,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,6,館內,25.0591,121.512
大安,臺北市立圖書館延吉民眾閱覽室,臺北市大安區延吉街236巷17號3~4F,臺北市立圖書館延吉民眾閱覽室,(02)27081964,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.0364,121.555
內湖,臺北市立圖書館東湖分館,臺北市內湖區五分街6號,臺北市立圖書館東湖分館,(02)26323378,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,館內,25.0674,121.6126
萬華,臺北市立圖書館東園分館,臺北市萬華區東園街199號,臺北市立圖書館東園分館,(02)23070460,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,4,館內,25.0226,121.4981
松山,臺北市立圖書館松山分館,臺北市松山區八德路四段688號6、7、8樓,臺北市立圖書館松山分館,(02)27531875,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,4,館內,25.0498,121.5768
中山,臺北市立圖書館長安分館,臺北市中山區長安西路3號4樓,臺北市立圖書館長安分館,(02)25625510,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,館內,25.0502,121.5209
南港,臺北市立圖書館南港分館,臺北市南港區南港路一段350號,臺北市立圖書館南港分館,(02)27825232,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.0549,121.608
中正,臺北市立圖書館城中分館,臺北市中正區濟南路二段46號3樓,臺北市立圖書館城中分館,(02)23938274,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.0402,121.5309
大同,臺北市立圖書館建成分館,臺北市大同區民生西路198號4樓,臺北市立圖書館建成分館,(02)25582320,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,館內,25.0569,121.5163
中山,臺北市立圖書館恆安民眾閱覽室,臺北市中山區民權東路一段71巷19號,臺北市立圖書館恆安民眾閱覽室,(02)25935482,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.0633,121.5271
萬華,臺北市立圖書館柳鄉民眾閱覽室,臺北市萬華區環河南路二段102號4樓,臺北市立圖書館柳鄉民眾閱覽室,(02)23080586,09:00~17:00,1,館內,25.0369,121.4953
松山,臺北市立圖書館啟明分館,臺北市松山區敦化北路155巷76號,臺北市立圖書館啟明分館,(02)25148443,09:00~17:00,4,館內,25.0545,121.5514
北投,臺北市立圖書館清江分館,臺北市北投區公館路198號3樓,臺北市立圖書館清江分館,(02)28960315,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.1277,121.5069
文山,臺北市立圖書館景美分館,臺北市文山區羅斯福路五段176巷50號,臺北市立圖書館景美分館,(02)29328457,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.0036,121.5363
文山,臺北市立圖書館景新分館,臺北市文山區景後街151號5號10樓,臺北市立圖書館景新分館,(02)29331244,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,7,館內,24.9899,121.5419
文山,臺北市立圖書館萬芳民眾閱覽室,臺北市文山區萬美街1段25號,臺北市立圖書館萬芳民眾閱覽室,(02)22305233,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,館內,25.0022,121.5691
萬華,臺北市立圖書館萬華分館,臺北市東園街19號5~7樓,臺北市立圖書館萬華分館,(02)23391056,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.0277,121.4957
文山,臺北市立圖書館萬興分館,臺北市文山區萬壽路27號4樓,臺北市立圖書館萬興分館,(02)22345501,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,4,館內,24.9886,121.5765
士林,臺北市立圖書館葫蘆堵分館,臺北市士林區延平北路5段136巷1號,臺北市立圖書館葫蘆堵分館,(02)28126513,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,5,館內,25.0823,121.5107
大安,臺北市立圖書館道藩分館,臺北市大安區辛亥路三段11號3樓,臺北市立圖書館道藩分館,(02)27334031,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,館內,25.0215,121.544
北投,臺北市立圖書館稻香分館,臺北市北投區稻香路81號3、4樓,臺北市立圖書館稻香分館,(02)28940662,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,館內,25.141,121.4894
萬華,臺北市立圖書館龍山分館,臺北市萬華區桂林路65巷6號,臺北市立圖書館龍山分館,(02)23311497,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.0385,121.5023
大安,臺北市立圖書館龍安民眾閱覽室,臺北市大安區永康街60號3樓,臺北市立圖書館龍安民眾閱覽室,(02)23945485,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.0285,121.5294
南港,臺北市立圖書館龍華民眾閱覽室,臺北市南港區東新街63巷8號,臺北市立圖書館龍華民眾閱覽室,(02)27851740,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,館內,25.0475,121.587
大安,臺北市立圖書館總館,臺北市大安區建國南路二段125號,臺北市立圖書館總館,(02)27552823,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,21,館內,25.0291,121.5383
南港,臺北市立圖書館舊莊分館,臺北市南港區舊莊街1段91巷11號2樓,臺北市立圖書館舊莊分館,(02)27837212,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,4,館內,25.0413,121.6194
大同,臺北市立圖書館蘭州民眾閱覽室,臺北市大同區昌吉街57號4樓,臺北市立圖書館蘭州民眾閱覽室,(02)25981387,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,館內,25.0662,121.5151
大同,臺北市立聯合醫院中興院區,臺北市大同區鄭州路145號,臺北市立聯合醫院中興院區,(02)25523234#3279,00:00~24:00,48,院區內,25.0511,121.5094
大安,臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路4段10號,臺北市立聯合醫院仁愛院區,(02)27093600,00:00~24:00,55,院區內,25.0372,121.5452
中正,臺北市立聯合醫院和平院區,臺北市中正區中華路2段33號,臺北市立聯合醫院和平院區,(02)23889595,00:00~24:00,32,院區內,25.0355,121.5068
中正,臺北市立聯合醫院和平婦幼院區,臺北市中正區福州街12號,臺北市立聯合醫院和平婦幼院區,(02)23916470#214,00:00~24:00,18,院區內,25.029,121.5192
南港,臺北市立聯合醫院忠孝院區,臺北市南港區同德路87號,臺北市立聯合醫院忠孝院區,(02)27861288#8094,00:00~24:00,35,院區內,25.0465,121.5861
信義,臺北市立聯合醫院松德院區,臺北市信義區松德路309號,臺北市立聯合醫院松德院區,(02)27263141#1390,00:00~24:00,40,院區內,25.0296,121.5744
中山,臺北市立聯合醫院林森院區,臺北市中山區林森北路530號,臺北市立聯合醫院林森中醫院區,(02)25916681#533,00:00~24:00,8,院區內,25.0634,121.5254
士林,臺北市立聯合醫院陽明院區,臺北市士林區雨聲街105號,臺北市立聯合醫院陽明院區,(02)28353456,00:00~24:00,47,院區內,25.1052,121.5321
萬華,臺北市立聯合醫院林森中醫昆明院區,臺北市萬華區昆明街100號,臺北市立聯合醫院中醫院區,(02)23887008,00:00~24:00,13,院區內,25.0443,121.5047
士林,士林區公所,臺北市士林區中正路439號,士林區公所,(02)28826200,週一至週五：08:30~17:30,7,建物內,25.0927,121.5195
士林,士林區戶政事務所,臺北市士林區中正路439號,士林區戶政事務所,(02)28803252,週一至週五：08:30~20:00,4,建物內,25.0926,121.5196
士林,士林地政事務所,臺北市士林區中正路439號,士林區地政事務所,(02)28812483,週一至週五：08:30~17:00,3,建物內,25.0927,121.5196
大同,大同區公所,臺北市大同區昌吉街57號,大同區公所,(02)25975323,週一至週五：08:30~17:30,3,建物內,25.0661,121.5152
大同,大同區戶政事務所,臺北市大同區昌吉街57號,大同區戶政事務所,(02)25942569,週一至週五：08:30~20:00,1,建物內,25.066,121.5151
大安,大安地政事務所,臺北市大安區信義路四段335巷6號,大安地政事務所,(02)27548900,週一至週五：08:30~17:00,5,建物內,25.0338,121.5564
大安,大安區公所,臺北市大安區新生南路二段86號,大安區公所,(02)23511711,週一至週五：08:30~17:30,4,建物內,25.0264,121.5345
大安,大安區戶政事務所,臺北市大安區新生南路二段86號,大安區戶政事務所,(02)23587877,週一至週五：08:30~20:00,2,建物內,25.0264,121.5345
中山,中山區公所,臺北市中山區松江路367號,中山區公所,(02)25031369,週一至週五：08:30~17:30,3,建物內,25.0642,121.5335
中山,中山區戶政事務所,臺北市中山區松江路367號,中山區戶政事務所,(02)25032461,週一至週五：08:30~20:00,1,建物內,25.0644,121.5336
中山,中山區地政事務所,臺北市中山區松江路357巷1號,中山區地政事務所,(02)25022881,週一至週五：08:30~17:00,7,建物內,25.0636,121.5341
中正,中正區公所,臺北市中正區忠孝東路一段108號8樓,中正區公所,(02)23416721,週一至週五：08:30~17:30,4,建物內,25.0443,121.5247
內湖,內湖區公所,臺北市內湖區民權東路6段99號,內湖區公所,(02)27925828,週一至週五：08:30~17:30,4,建物內,25.0692,121.5889
內湖,內湖區戶政事務所,臺北市內湖區民權東路六段99號,內湖區戶政事務所,(02)27912277,週一至週五：08:30~20:00,1,建物內,25.0693,121.589
文山,文山區公所,臺北市文山區木柵路三段220號,文山區公所,(02)29365522,週一至週五：08:30~17:30,5,建物內,24.9896,121.5701
文山,文山區戶政事務所,臺北市文山區木柵路三段220號,文山區戶政事務所,(02)29395885,週一至週五：08:30~20:00,3,建物內,24.9896,121.57
文山,文山區戶政事務所(景美辦事處),臺北市文山區興隆路二段160號,文山區戶政事務所(景美辦事處),(02)29395885#2110,週一至週五：08:30~20:00,1,建物內,25.0015,121.5514
北投,北投區戶政事務所,臺北市北投區新市街30號,北投區戶政事務所,(02)28924170,週一至週五：08:30~20:00,2,建物內,25.132,121.5032
文山,古亭地政事務所,臺北市文山區萬隆街47之12號,古亭地政事務所,(02)29355369,週一至週五：08:30~17:00,5,建物內,25.0006,121.5361
松山,松山區公所,臺北市松山區八德路四段692號,松山區公所,(02)87878787,週一至週五：08:30~17:30,4,建物內,25.0498,121.5772
松山,松山區戶政事務所,臺北市松山區八德路四段692號,松山區戶政事務所,(02)27533043,週一至週五：08:30~20:00,2,建物內,25.0499,121.5772
信義,松山地政事務所,臺北市信義區莊敬路391巷11弄2號,松山區地政事務所,(02)27230711,週一至週五：08:30~17:00,4,建物內,25.0288,121.5661
信義,信義區公所,臺北市信義區信義路五段15號,信義區公所,(02)27239777,週一至週五：08:30~17:30,7,建物內,25.0331,121.5668
信義,信義區戶政事務所,臺北市信義區信義路五段15號,信義區戶政事務所,(02)27233977,週一至週五：08:30~20:00,2,建物內,25.0333,121.5668
南港,南港區公所,臺北市南港區南港路一段360號,南港區公所,(02)27831343,週一至週五：08:30~17:30,5,建物內,25.0547,121.6066
南港,南港區戶政事務所,臺北市南港區南港路一段1段號360號4樓,南港區戶政事務所,(02)27825196,週一至週五：08:30~20:00,1,建物內,25.0545,121.6067
萬華,建成地政事務所,臺北市萬華區和平西路三段120號,建成地政事務所,(02)23062122,週一至週五：08:30~17:00,4,建物內,25.035,121.4998
萬華,萬華區公所,臺北市萬華區和平西路三段120號,萬華區公所,(02)23064468,週一至週五：08:30~17:30,3,建物內,25.0348,121.4997
萬華,萬華區戶政事務所,臺北市萬華區和平西路三段120號,萬華區戶政事務所,(02)23062706,週一至週五：08:30~20:00,4,建物內,25.035,121.4998
信義,臺北市政府,臺北市信義區市府路1號,臺北市政府,(02)27208889,週一至週五：08:30~17:30,94,建物內,25.0375,121.5644
信義,市府轉運站,臺北市信義區忠孝東路5段6號,市府轉運站,(02)87806252,依據起訖班車時間,2,建物內,25.0405,121.5648
松山,交通部臺灣鐵路管理局-松山火車站,臺北市松山區松山路11號,交通部臺灣鐵路管理局-松山火車站,(02)21910096,依據起訖班車時間,1,建物內,25.0492,121.5782
南港,交通部臺灣鐵路管理局-南港火車站,臺北市南港區南港路一段313號,交通部臺灣鐵路管理局-南港火車站,(02)21910096,依據起訖班車時間,6,建物內,25.053,121.6069
萬華,交通部臺灣鐵路管理局-萬華火車站,臺北市萬華區康定路382號,交通部臺灣鐵路管理局-萬華火車站,(02)21910096,依據起訖班車時間,8,建物內,25.0332,121.4998
中正,交通部臺灣鐵路管理局-臺北火車站,臺北市中正區北平西路3號,交通部臺灣鐵路管理局-臺北火車站,(02)21910096,依據起訖班車時間,11,建物內,25.0477,121.5169
松山,臺北松山機場,臺北市松山區敦化北路340號之9,臺北松山機場,(02)87703460,依據起訖班機時間,36,建物內,25.0675,121.5526
中山,臺北轉運站,臺北市中山區市民大道1段209號14樓,臺北轉運站,(02)77335888,依據起訖班車時間,4,建物內,25.0488,121.5187
士林,臺北市兒童新樂園,臺北市士林區承德路5段55號,臺北市兒童新樂園,(02)28333823#105,週一至週日09:00–17:00 ,21,建物內,25.0972,121.5149
士林,臺北市立天文科學教育館,臺北市士林區基河路363號,臺北市立天文科學教育館,(02)28314551,週二至週日09:00–17:00 ,8,建物內,25.0958,121.5183
士林,臺北市天母棒球場,臺北市士林區忠誠路2段77號,臺北市天母棒球場,(02)28736548#101,參考該網站資訊,11,建物內,25.1134,121.5329
士林,國立臺灣科學教育館,臺北市士林區士商路189號,國立臺灣科學教育館,(02)66101234#1000,"週二至週五09:00~17:00  
週六至週日09:00~18:00",22,建物內,25.0962,121.5164
士林,國立故宮博物院,臺北市士林區至善路二段221號,國立故宮博物院,(02)28812021,"週日至週四08:30~18:30  
週五至週六08:30~21:00",5,建物內,25.1023,121.5484
大安,客家文化會館 ,臺北市信義路三段157巷11號,客家文化會館 ,(02)27026141,週一至週日09:00~21:00,4,建物內,25.0345,121.543
中山,臺北花博夢想館,臺北市中山區濱江街12號,臺北花博夢想館,(02)21828886,參考最新展演活動資訊,1,建物內,25.0711,121.5308
中山,臺北花博爭艷館,臺北市中山區玉門街1號,臺北花博爭艷館,(02)21828886,參考最新展演活動資訊,3,建物內,25.0696,121.5207
中山,臺北市立美術館,臺北市中山北路三段181號,臺北市立美術館,(02)25957656,週二至週日09:30–17:30,8,建物內,25.0724,121.5248
中正,臺北植物園,臺北市中正區南海路53號,臺北植物園,(02)23039978#1420,週一至週日05:30~22:00,12,建物內,25.0318,121.5094
中正,臺北市客家文化主題公園,臺北市中正區汀州路三段2號,臺北市客家文化主題公園,(02)23691198,週二至週日09:00~18:00,6,建物內,25.0202,121.5253
中正,臺北市青少年發展處,臺北市中正區仁愛路一段17號,臺北市青少年發展處,(02)23514078,週一至週日09:00~21:00,5,建物內,25.0389,121.5222
中正,臺北市中山堂,臺北市中正區延平南路98號,臺北市中山堂,(02)23813137,週一至週日09:30–21:00 ,1,建物內,25.0431,121.5096
中正,郵政博物館,臺北市中正區重慶南路二段45號,郵政博物館,(02)23945185,週二至週日09:00–17:00 ,6,建物內,25.0316,121.5147
中正,國軍歷史文物館,臺北市中正區貴陽街一段243號,國軍歷史文物館,(02)23315730,週一至週五09:00~16:00,1,建物內,25.0393,121.5082
中正,國立臺灣博物館,臺北市中正區襄陽路2號,國立臺灣博物館,(02)23822566,週二至週日09:30–17:00 ,3,建物內,25.0427,121.515
中正,國立中正紀念堂,臺北市中正區中山南路21號,國立中正紀念堂,(02)23431100#1169,週一至週日09:00–18:00 ,13,建物內,25.0346,121.5217
文山,臺北市立動物園,臺北市文山區新光路二段30號,臺北市立動物園,(02)29382300#630,週一至週日09:00~17:00,17,建物內,24.9983,121.581
北投,捷運北投會館,臺北市北投區大業路527巷88號,捷運北投會館,(02)28930105,"週一至週五15:00~22:00
例假日及寒、暑假：09:00~22:00",37,建物內,25.1345,121.4838
北投,北投復興公園,臺北市北投區中和街200號,北投復興公園,0979-185878,週二至週日08:00~18:00,1,建物內,25.1389,121.5023
松山,臺北體育館,臺北市松山區南京東路4段10號,臺北體育館,(02)2570 2330#6512,週一至週日06:00~22:00,6,建物內,25.0513,121.552
松山,臺北田徑場,臺北市松山區敦化北路3號,臺北田徑場,(02)25702330,週一至週日05:00~09:00，18:00~22:00,10,建物內,25.0495,121.5514
松山,臺北市藝文推廣處,臺北市松山區八德路三段25號,臺北市藝文推廣處,(02)25775931,週二至週日09:00–21:00 ,16,建物內,25.0483,121.5522
松山,臺北小巨蛋,臺北市南京東路4段2號,臺北小巨蛋,(02)25783536,週一至週日09:00~22:00,11,建物內,25.0511,121.5498
信義,國立國父紀念館,臺北市信義區仁愛路四段505號,國立國父紀念館,(02)27588008#596,週一至週日09:00–18:00 ,11,建物內,25.04,121.5602
南港,南港展覽館,臺北市南港區經貿二路1號,南港展覽館,(02)27255200,週一至週日07:00~22:00,26,建物內,25.0566,121.6181
萬華,臺北市立文獻館,臺北市萬華區中華路1段174-1號,臺北市立文獻館,(02)23115355,週一至週五08:30–17:30,2,建物內,25.0403,121.5068
信義,永春活力館,臺北市信義區松山路342巷13號1樓,永春活力館,(02)27565819,週一至週日09:00–21:00,2,建物內,25.04146,121.57713
內湖,臺北網球中心,臺北市內湖區民權東路六段208號,臺北網球中心,(02)27951166,週一至週日06:00–22:00,2,建物內,25.06773,121.59695
中山,新生公園游泳池,臺北市中山區新生北路三段105號,新生公園游泳池,(02)25702330#6654,"週一至週日05:30~22:00
",4,建物內,25.06887,121.53143
士林,天母運動公園,臺北市士林區忠誠路二段,天母運動公園,(02)28736548,24小時營業,2,服務中心,25.11518,121.53421
